courseId,name,department,url
POLD55H3,"The Politics of Equality and Inequality in Canada",POL,https://utsc.calendar.utoronto.ca/course/POLD55H3
POLD59H3,"Politics of Disability",POL,https://utsc.calendar.utoronto.ca/course/POLD59H3
POLD67H3,"The Limits of Rationality",POL,https://utsc.calendar.utoronto.ca/course/POLD67H3
POLD70H3,"Topics in Political Theory",POL,https://utsc.calendar.utoronto.ca/course/POLD70H3
POLD78H3,"Advanced Political Analysis",POL,https://utsc.calendar.utoronto.ca/course/POLD78H3
POLD87H3,"Rational Choice and International Cooperation",POL,https://utsc.calendar.utoronto.ca/course/POLD87H3
POLD89H3,"Global Environmental Politics",POL,https://utsc.calendar.utoronto.ca/course/POLD89H3
POLD90H3,"Public Policy and Human Development in the Global South",POL,https://utsc.calendar.utoronto.ca/course/POLD90H3
POLD91H3,"Comparative Perspectives on Contentious Politics",POL,https://utsc.calendar.utoronto.ca/course/POLD91H3
POLD92H3,"Survival and Demise of Dictatorships",POL,https://utsc.calendar.utoronto.ca/course/POLD92H3
POLD94H3,"Selected Topics on Developing Areas",POL,https://utsc.calendar.utoronto.ca/course/POLD94H3
POLD95H3,"Supervised Research",POL,https://utsc.calendar.utoronto.ca/course/POLD95H3
POLD98H3,"Supervised Reading",POL,https://utsc.calendar.utoronto.ca/course/POLD98H3
